                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0313,                 6.4236,                  2.418,                0.65893,                0.03945,                0.01597,                0.00486,                 3.0238,                   4.22,                 1.6562,              0.0033315,              0.0033315,              0.0033315
                      2,                 3.0263,                 3.0083,                 1.5722,                0.70207,                0.05673,                0.05107,                0.01765,                 2.6873,                  3.086,                 1.4871,              0.0066429,              0.0066429,              0.0066429
                      3,                 2.8158,                 2.6068,                 1.4404,                0.32651,                0.09562,                0.08547,                0.03515,                 2.5596,                  2.792,                 1.4115,              0.0099322,              0.0099322,              0.0099322
                      4,                  2.661,                 2.2854,                 1.3765,                0.19292,                0.13235,                0.11692,                0.04691,                 2.4191,                 2.2174,                   1.34,               0.009901,               0.009901,               0.009901
                      5,                 2.5562,                  2.098,                 1.3337,                0.32479,                 0.1374,                0.12736,                0.05059,                 2.3599,                 2.1171,                 1.3174,               0.009901,               0.009901,               0.009901
                      6,                 2.4899,                 1.9663,                 1.3039,                0.36276,                0.16448,                0.15799,                0.06711,                 2.3081,                  1.985,                 1.2877,               0.009868,               0.009868,               0.009868
                      7,                 2.4584,                 1.9269,                 1.2899,                0.35651,                0.16456,                0.16708,                0.07075,                 2.2869,                 1.8756,                 1.2785,               0.009835,               0.009835,               0.009835
                      8,                 2.4251,                 1.8529,                 1.2772,                0.33956,                0.17287,                 0.1644,                0.06873,                 2.2356,                 1.8323,                 1.2634,               0.009802,               0.009802,               0.009802
                      9,                 2.4004,                 1.8086,                 1.2722,                0.36391,                0.18342,                  0.181,                0.07655,                 2.2239,                 1.8214,                 1.2552,               0.009769,               0.009769,               0.009769
                     10,                 2.3737,                 1.7927,                  1.263,                0.38028,                0.19519,                0.19407,                0.08224,                 2.2302,                 1.7865,                  1.254,               0.009736,               0.009736,               0.009736
                     11,                 2.3618,                 1.7412,                 1.2488,                0.38238,                0.19686,                0.19747,                0.08564,                 2.2217,                 1.7295,                  1.244,               0.009703,               0.009703,               0.009703
                     12,                 2.3381,                 1.7096,                 1.2488,                0.38959,                0.20443,                0.20374,                0.08501,                 2.1843,                 1.6864,                 1.2368,                0.00967,                0.00967,                0.00967
                     13,                 2.3176,                 1.6975,                 1.2413,                0.41418,                0.20012,                0.21121,                0.09021,                 2.1802,                 1.6242,                 1.2406,               0.009637,               0.009637,               0.009637
                     14,                 2.3023,                 1.6632,                  1.235,                0.41032,                0.19882,                0.21195,                0.09335,                 2.1729,                 1.6808,                 1.2339,               0.009604,               0.009604,               0.009604
                     15,                 2.2919,                 1.6384,                 1.2321,                0.54059,                0.20399,                0.21785,                0.09407,                 2.1676,                 1.6342,                 1.2299,               0.009571,               0.009571,               0.009571
                     16,                 2.2945,                 1.6389,                 1.2313,                0.54563,                0.21247,                0.22369,                0.09866,                 2.1547,                 1.6158,                 1.2264,               0.009538,               0.009538,               0.009538
                     17,                 2.2758,                 1.6125,                 1.2299,                 0.5311,                0.21997,                0.22409,                0.09657,                 2.1461,                 1.5837,                 1.2219,               0.009505,               0.009505,               0.009505
                     18,                 2.2787,                 1.6111,                 1.2267,                0.53795,                0.22463,                0.23375,                 0.1019,                 2.1304,                 1.5613,                 1.2136,               0.009472,               0.009472,               0.009472
                     19,                 2.2806,                 1.5949,                 1.2234,                0.55223,                0.22232,                0.23488,                0.10138,                 2.1201,                 1.5533,                 1.2163,               0.009439,               0.009439,               0.009439
                     20,                 2.2648,                 1.5904,                 1.2172,                0.53806,                0.23037,                0.24151,                0.10408,                 2.1394,                 1.5272,                 1.2144,               0.009406,               0.009406,               0.009406
                     21,                 2.2536,                  1.565,                 1.2148,                0.42878,                 0.2291,                0.24598,                0.10636,                 2.1122,                  1.517,                 1.2075,               0.009373,               0.009373,               0.009373
                     22,                 2.2436,                 1.5535,                 1.2123,                0.43982,                 0.2322,                0.25012,                0.10658,                 2.1107,                 1.5077,                 1.2043,                0.00934,                0.00934,                0.00934
                     23,                 2.2397,                 1.5338,                 1.2121,                0.44031,                0.24283,                0.25594,                0.11281,                 2.1005,                 1.5041,                 1.1992,               0.009307,               0.009307,               0.009307
                     24,                 2.2363,                 1.5359,                 1.2055,                0.43026,                0.25294,                0.25709,                0.10966,                 2.1038,                 1.4651,                 1.2038,               0.009274,               0.009274,               0.009274
                     25,                 2.2269,                 1.5264,                 1.2092,                0.32318,                0.25751,                0.25879,                  0.111,                 2.0894,                 1.4718,                 1.1988,               0.009241,               0.009241,               0.009241
                     26,                 2.2298,                 1.5294,                 1.2074,                0.32737,                0.26085,                0.26607,                 0.1134,                 2.0873,                 1.4643,                 1.1959,               0.009208,               0.009208,               0.009208
                     27,                 2.2337,                 1.5232,                 1.2039,                0.45139,                 0.2666,                0.27318,                0.11783,                 2.0839,                 1.4533,                  1.195,               0.009175,               0.009175,               0.009175
                     28,                 2.2165,                 1.5017,                    1.2,                0.40993,                 0.2746,                0.27832,                0.11825,                 2.0847,                 1.4504,                 1.1927,               0.009142,               0.009142,               0.009142
                     29,                 2.2186,                  1.501,                  1.199,                0.38742,                0.28754,                0.28191,                0.12005,                 2.0745,                 1.4302,                 1.1901,               0.009109,               0.009109,               0.009109
                     30,                 2.2235,                 1.4985,                 1.1972,                 0.3972,                 0.2884,                0.28799,                0.12524,                 2.0644,                 1.4238,                 1.1872,               0.009076,               0.009076,               0.009076
                     31,                 2.2095,                 1.4853,                  1.199,                0.36559,                0.28414,                0.28435,                0.12174,                 2.0617,                 1.4154,                 1.1859,               0.009043,               0.009043,               0.009043
                     32,                 2.2001,                 1.4799,                 1.1982,                0.55457,                0.27908,                0.29069,                0.12375,                 2.0617,                 1.4187,                 1.1851,                0.00901,                0.00901,                0.00901
                     33,                  2.202,                 1.4649,                 1.1942,                0.55499,                0.27293,                0.28743,                0.12342,                  2.065,                 1.4106,                  1.186,               0.008977,               0.008977,               0.008977
                     34,                 2.1998,                 1.4601,                 1.1947,                0.41271,                0.28602,                0.29361,                0.12484,                 2.0612,                 1.4024,                 1.1868,               0.008944,               0.008944,               0.008944
                     35,                 2.1865,                 1.4631,                 1.1917,                0.41476,                0.29723,                0.30031,                0.12977,                 2.0561,                 1.3814,                 1.1833,               0.008911,               0.008911,               0.008911
                     36,                 2.1906,                 1.4422,                 1.1912,                0.40666,                0.30133,                 0.3026,                0.12796,                 2.0481,                 1.3899,                 1.1812,               0.008878,               0.008878,               0.008878
                     37,                 2.1877,                   1.44,                 1.1845,                0.53914,                0.30342,                0.30464,                0.13266,                 2.0497,                 1.3745,                 1.1822,               0.008845,               0.008845,               0.008845
                     38,                 2.1903,                 1.4506,                 1.1909,                0.55143,                0.29661,                 0.3022,                 0.1315,                 2.0499,                 1.3831,                 1.1817,               0.008812,               0.008812,               0.008812
                     39,                 2.1822,                 1.4433,                  1.189,                0.55106,                0.29834,                0.30763,                0.13109,                 2.0435,                 1.3775,                 1.1778,               0.008779,               0.008779,               0.008779
                     40,                 2.1838,                 1.4565,                 1.1891,                0.56657,                0.29837,                0.30331,                 0.1292,                 2.0421,                 1.3756,                 1.1766,               0.008746,               0.008746,               0.008746
                     41,                 2.1794,                 1.4491,                 1.1848,                0.56063,                0.30837,                0.31223,                0.13381,                 2.0358,                 1.3638,                 1.1761,               0.008713,               0.008713,               0.008713
                     42,                 2.1779,                 1.4355,                 1.1889,                0.55784,                0.30124,                0.30808,                0.13071,                 2.0371,                 1.3607,                 1.1773,                0.00868,                0.00868,                0.00868
                     43,                   2.17,                 1.4179,                 1.1849,                0.55986,                0.30495,                 0.3171,                0.13739,                 2.0389,                 1.3615,                 1.1763,               0.008647,               0.008647,               0.008647
                     44,                 2.1762,                 1.4244,                  1.179,                0.53415,                0.30831,                0.31232,                0.13478,                 2.0301,                 1.3585,                 1.1728,               0.008614,               0.008614,               0.008614
                     45,                 2.1691,                 1.4221,                 1.1873,                0.55785,                0.30989,                0.31927,                0.13867,                 2.0293,                  1.355,                 1.1737,               0.008581,               0.008581,               0.008581
                     46,                 2.1685,                 1.4131,                 1.1853,                0.66744,                0.32241,                 0.3822,                0.16473,                 2.0291,                 1.3463,                 1.1725,               0.008548,               0.008548,               0.008548
                     47,                 2.1669,                 1.4157,                 1.1797,                0.69779,                0.30216,                0.31729,                0.13683,                 2.0259,                  1.348,                  1.172,               0.008515,               0.008515,               0.008515
                     48,                 2.1626,                 1.4172,                 1.1755,                0.56165,                0.31424,                0.32199,                0.13939,                  2.025,                 1.3409,                 1.1724,               0.008482,               0.008482,               0.008482
                     49,                 2.1578,                 1.4101,                 1.1796,                0.70141,                0.31935,                0.32962,                0.14225,                 2.0211,                 1.3334,                 1.1713,               0.008449,               0.008449,               0.008449
                     50,                 2.1532,                 1.4015,                 1.1784,                0.69361,                0.31686,                0.35065,                0.14543,                 2.0194,                  1.334,                 1.1704,               0.008416,               0.008416,               0.008416
                     51,                  2.158,                 1.4096,                 1.1769,                0.69443,                0.31865,                0.33285,                0.14171,                 2.0196,                 1.3314,                 1.1701,               0.008383,               0.008383,               0.008383
                     52,                 2.1548,                  1.418,                 1.1835,                 0.6991,                0.32041,                0.33201,                0.14227,                 2.0183,                 1.3316,                 1.1689,                0.00835,                0.00835,                0.00835
                     53,                  2.152,                 1.3803,                 1.1759,                 0.6941,                0.31768,                 0.3336,                0.14435,                 2.0134,                 1.3195,                 1.1678,               0.008317,               0.008317,               0.008317
                     54,                  2.159,                 1.4051,                  1.177,                0.68509,                0.32017,                0.34871,                0.14473,                 2.0125,                 1.3239,                 1.1676,               0.008284,               0.008284,               0.008284
                     55,                 2.1451,                 1.3967,                 1.1813,                  0.689,                0.32283,                0.34925,                0.14762,                 2.0123,                 1.3193,                 1.1671,               0.008251,               0.008251,               0.008251
                     56,                 2.1513,                 1.3958,                 1.1779,                 0.6871,                0.32443,                0.33813,                0.14512,                  2.008,                  1.317,                 1.1653,               0.008218,               0.008218,               0.008218
                     57,                  2.147,                 1.3918,                 1.1778,                0.68619,                 0.3284,                0.34266,                0.14792,                 2.0056,                 1.3114,                 1.1656,               0.008185,               0.008185,               0.008185
                     58,                 2.1388,                 1.3822,                 1.1769,                0.67543,                0.33331,                0.34853,                0.14916,                 2.0069,                  1.306,                 1.1647,               0.008152,               0.008152,               0.008152
                     59,                 2.1427,                 1.3722,                 1.1739,                0.70318,                0.32966,                0.34863,                0.14885,                 2.0075,                 1.3044,                 1.1642,               0.008119,               0.008119,               0.008119
                     60,                 2.1418,                 1.3792,                 1.1751,                0.72121,                0.32559,                0.34953,                0.15024,                 2.0076,                 1.2987,                 1.1639,               0.008086,               0.008086,               0.008086
                     61,                 2.1343,                 1.3661,                 1.1717,                0.69912,                0.33348,                0.34868,                0.15043,                 2.0025,                 1.2975,                 1.1619,               0.008053,               0.008053,               0.008053
                     62,                 2.1427,                 1.3712,                  1.174,                0.70495,                  0.337,                0.35143,                0.15194,                 1.9999,                 1.2935,                 1.1621,                0.00802,                0.00802,                0.00802
                     63,                 2.1357,                 1.3691,                 1.1687,                 0.7159,                0.33347,                0.35382,                 0.1535,                 1.9984,                 1.2922,                 1.1622,               0.007987,               0.007987,               0.007987
                     64,                 2.1378,                  1.367,                 1.1679,                0.70771,                0.33965,                0.35846,                0.15405,                 1.9986,                 1.2924,                 1.1621,               0.007954,               0.007954,               0.007954
                     65,                 2.1277,                 1.3606,                 1.1733,                0.70659,                0.34426,                0.35936,                0.15468,                 1.9972,                 1.2893,                 1.1616,               0.007921,               0.007921,               0.007921
                     66,                 2.1423,                 1.3692,                  1.169,                0.70126,                0.34351,                0.35709,                0.15507,                 1.9972,                 1.2876,                 1.1615,               0.007888,               0.007888,               0.007888
                     67,                 2.1356,                 1.3712,                 1.1718,                0.69586,                0.34052,                0.36072,                0.15519,                 1.9971,                 1.2872,                  1.161,               0.007855,               0.007855,               0.007855
                     68,                 2.1282,                  1.355,                 1.1649,                0.70693,                0.34201,                0.35812,                 0.1549,                 1.9965,                 1.2851,                 1.1605,               0.007822,               0.007822,               0.007822
                     69,                 2.1275,                  1.344,                 1.1669,                0.73048,                0.33749,                0.36041,                0.15571,                 1.9948,                 1.2821,                 1.1602,               0.007789,               0.007789,               0.007789
                     70,                 2.1341,                 1.3497,                 1.1684,                0.71834,                0.33776,                0.36139,                0.15642,                 1.9935,                 1.2793,                 1.1594,               0.007756,               0.007756,               0.007756
                     71,                 2.1314,                 1.3602,                 1.1679,                0.71717,                0.34255,                0.36353,                0.15715,                 1.9936,                 1.2787,                 1.1594,               0.007723,               0.007723,               0.007723
                     72,                 2.1257,                 1.3462,                 1.1672,                0.72518,                0.34208,                 0.3651,                 0.1573,                 1.9931,                 1.2773,                 1.1595,                0.00769,                0.00769,                0.00769
                     73,                 2.1213,                 1.3376,                 1.1671,                0.72808,                0.34239,                0.36593,                0.15842,                 1.9915,                 1.2745,                 1.1588,               0.007657,               0.007657,               0.007657
                     74,                 2.1229,                 1.3467,                 1.1603,                0.72754,                0.34275,                0.36641,                0.15818,                 1.9904,                 1.2739,                 1.1586,               0.007624,               0.007624,               0.007624
                     75,                  2.121,                 1.3422,                 1.1668,                0.72324,                0.34461,                0.36667,                0.15863,                 1.9901,                 1.2725,                 1.1582,               0.007591,               0.007591,               0.007591
                     76,                 2.1229,                 1.3398,                 1.1624,                0.72731,                0.34819,                 0.3679,                0.15783,                 1.9903,                 1.2726,                 1.1583,               0.007558,               0.007558,               0.007558
                     77,                 2.1231,                 1.3422,                  1.165,                 0.7305,                 0.3472,                0.36673,                0.15798,                 1.9896,                 1.2721,                 1.1581,               0.007525,               0.007525,               0.007525
                     78,                  2.113,                  1.346,                 1.1619,                0.72886,                0.34663,                0.36712,                0.15802,                 1.9884,                 1.2722,                 1.1579,               0.007492,               0.007492,               0.007492
                     79,                 2.1115,                 1.3372,                 1.1668,                0.72236,                0.34606,                0.36875,                0.15821,                 1.9881,                 1.2711,                 1.1576,               0.007459,               0.007459,               0.007459
                     80,                 2.1121,                 1.3343,                 1.1608,                0.72674,                0.34275,                0.36963,                0.15862,                  1.988,                 1.2687,                 1.1574,               0.007426,               0.007426,               0.007426
                     81,                 2.1115,                 1.3287,                 1.1609,                0.72205,                0.34267,                0.36894,                0.15892,                 1.9868,                 1.2668,                 1.1571,               0.007393,               0.007393,               0.007393
                     82,                 2.1122,                 1.3281,                 1.1625,                0.69708,                 0.3519,                0.36903,                0.15957,                 1.9859,                 1.2649,                 1.1569,                0.00736,                0.00736,                0.00736
                     83,                 2.1072,                 1.3235,                 1.1605,                0.72101,                0.34716,                0.36838,                0.15982,                 1.9852,                 1.2633,                 1.1566,               0.007327,               0.007327,               0.007327
                     84,                 2.1152,                 1.3262,                 1.1652,                0.71829,                0.34883,                0.36967,                0.16051,                 1.9843,                 1.2624,                 1.1564,               0.007294,               0.007294,               0.007294
                     85,                 2.1132,                 1.3337,                 1.1622,                0.59227,                0.35177,                 0.3711,                0.16102,                 1.9832,                 1.2613,                 1.1561,               0.007261,               0.007261,               0.007261
                     86,                 2.1025,                 1.3183,                 1.1619,                0.59024,                0.35292,                0.37153,                0.16148,                 1.9822,                 1.2596,                 1.1558,               0.007228,               0.007228,               0.007228
                     87,                 2.1216,                 1.3255,                 1.1655,                0.59424,                0.34989,                0.37151,                0.16196,                 1.9812,                 1.2586,                 1.1553,               0.007195,               0.007195,               0.007195
                     88,                 2.1044,                 1.3204,                  1.162,                0.59435,                0.35382,                0.37297,                0.16256,                 1.9807,                 1.2579,                 1.1551,               0.007162,               0.007162,               0.007162
                     89,                 2.1076,                 1.3139,                 1.1581,                 0.5997,                0.35071,                0.37297,                0.16299,                 1.9804,                 1.2575,                  1.155,               0.007129,               0.007129,               0.007129
                     90,                  2.099,                 1.3218,                 1.1649,                0.59877,                0.35385,                0.37368,                0.16336,                   1.98,                 1.2569,                 1.1549,               0.007096,               0.007096,               0.007096
                     91,                 2.0979,                 1.3149,                 1.1625,                0.59712,                0.35206,                0.37342,                0.16324,                 1.9795,                 1.2559,                 1.1547,               0.007063,               0.007063,               0.007063
                     92,                 2.1009,                 1.3174,                 1.1623,                0.59877,                 0.3531,                0.37424,                0.16337,                  1.979,                  1.255,                 1.1544,                0.00703,                0.00703,                0.00703
                     93,                 2.0885,                 1.3071,                 1.1547,                0.60378,                0.35464,                0.37461,                0.16337,                 1.9786,                 1.2537,                 1.1542,               0.006997,               0.006997,               0.006997
                     94,                 2.0947,                 1.3092,                 1.1584,                 0.6779,                0.35529,                0.37783,                0.16351,                 1.9781,                 1.2527,                  1.154,               0.006964,               0.006964,               0.006964
                     95,                 2.1007,                 1.3087,                 1.1576,                0.68117,                0.35417,                0.37865,                0.16398,                 1.9777,                 1.2518,                 1.1538,               0.006931,               0.006931,               0.006931
                     96,                 2.0961,                  1.298,                 1.1545,                0.67053,                 0.3581,                0.37933,                0.16409,                 1.9771,                 1.2507,                 1.1536,               0.006898,               0.006898,               0.006898
                     97,                 2.0906,                 1.2962,                 1.1544,                0.66848,                0.35674,                0.37928,                0.16378,                 1.9767,                 1.2498,                 1.1535,               0.006865,               0.006865,               0.006865
                     98,                 2.0844,                 1.2927,                 1.1554,                0.66875,                0.35592,                0.37988,                0.16411,                 1.9765,                 1.2493,                 1.1534,               0.006832,               0.006832,               0.006832
                     99,                 2.0901,                 1.3029,                   1.16,                0.66517,                0.35586,                 0.3803,                 0.1641,                 1.9763,                 1.2486,                 1.1533,               0.006799,               0.006799,               0.006799
                    100,                 2.0935,                 1.2986,                 1.1575,                0.66394,                0.35511,                0.38236,                 0.1645,                 1.9762,                 1.2481,                 1.1532,               0.006766,               0.006766,               0.006766
                    101,                 2.0864,                 1.2953,                 1.1523,                0.66225,                0.35413,                0.38275,                0.16461,                 1.9759,                 1.2472,                 1.1531,               0.006733,               0.006733,               0.006733
                    102,                 2.0878,                 1.2887,                 1.1506,                0.66414,                0.35374,                0.38398,                0.16466,                 1.9754,                 1.2464,                 1.1529,                 0.0067,                 0.0067,                 0.0067
                    103,                 2.0878,                 1.2949,                 1.1569,                0.66792,                 0.3545,                 0.3839,                0.16499,                 1.9751,                 1.2456,                 1.1527,               0.006667,               0.006667,               0.006667
                    104,                 2.0919,                 1.2921,                 1.1555,                0.64499,                0.36107,                0.38394,                0.16503,                 1.9747,                  1.245,                 1.1526,               0.006634,               0.006634,               0.006634
                    105,                 2.0909,                 1.2901,                 1.1571,                0.63017,                0.36351,                0.38459,                0.16546,                 1.9744,                 1.2446,                 1.1524,               0.006601,               0.006601,               0.006601
                    106,                 2.0908,                  1.298,                 1.1537,                0.63882,                0.36263,                0.38589,                0.16563,                  1.974,                 1.2439,                 1.1523,               0.006568,               0.006568,               0.006568
                    107,                  2.083,                 1.2891,                 1.1564,                0.64547,                0.36149,                0.38644,                0.16588,                 1.9736,                 1.2434,                 1.1522,               0.006535,               0.006535,               0.006535
                    108,                 2.0895,                 1.2838,                 1.1537,                0.64852,                0.36216,                0.38589,                0.16618,                 1.9733,                  1.243,                 1.1521,               0.006502,               0.006502,               0.006502
                    109,                   2.08,                 1.2798,                 1.1543,                0.65124,                0.36264,                0.38628,                0.16647,                  1.973,                 1.2427,                  1.152,               0.006469,               0.006469,               0.006469
                    110,                 2.0877,                 1.2868,                 1.1567,                0.65634,                0.36349,                0.38632,                0.16647,                 1.9728,                 1.2424,                 1.1519,               0.006436,               0.006436,               0.006436
                    111,                 2.0794,                 1.2838,                 1.1583,                   0.66,                0.36304,                0.38849,                0.16687,                 1.9724,                 1.2417,                 1.1518,               0.006403,               0.006403,               0.006403
                    112,                 2.0815,                 1.2856,                 1.1544,                0.65774,                0.36358,                0.38892,                0.16736,                 1.9722,                 1.2411,                 1.1517,                0.00637,                0.00637,                0.00637
                    113,                 2.0848,                 1.2745,                 1.1492,                0.66041,                 0.3628,                 0.3889,                0.16747,                 1.9718,                 1.2404,                 1.1515,               0.006337,               0.006337,               0.006337
                    114,                 2.0716,                 1.2729,                 1.1548,                0.65871,                 0.3636,                0.39036,                0.16765,                 1.9716,                 1.2397,                 1.1515,               0.006304,               0.006304,               0.006304
                    115,                 2.0767,                 1.2745,                 1.1516,                0.65375,                0.36389,                0.39134,                0.16801,                 1.9713,                 1.2392,                 1.1514,               0.006271,               0.006271,               0.006271
                    116,                 2.0784,                 1.2634,                 1.1527,                 0.6474,                0.36377,                0.39153,                0.16792,                 1.9709,                 1.2386,                 1.1513,               0.006238,               0.006238,               0.006238
                    117,                 2.0771,                 1.2784,                 1.1524,                0.64604,                0.36407,                0.39144,                0.16791,                 1.9704,                 1.2381,                  1.151,               0.006205,               0.006205,               0.006205
                    118,                 2.0734,                 1.2774,                 1.1512,                0.52239,                0.36385,                0.39149,                0.16803,                 1.9701,                 1.2374,                 1.1509,               0.006172,               0.006172,               0.006172
                    119,                 2.0633,                 1.2688,                 1.1511,                0.52335,                0.36386,                0.39198,                0.16823,                 1.9697,                  1.237,                 1.1508,               0.006139,               0.006139,               0.006139
                    120,                 2.0694,                 1.2718,                 1.1451,                0.52138,                0.36498,                0.39089,                0.16819,                 1.9693,                 1.2366,                 1.1507,               0.006106,               0.006106,               0.006106
                    121,                 2.0756,                 1.2768,                 1.1526,                0.52782,                0.36356,                0.39294,                0.16868,                  1.969,                  1.236,                 1.1505,               0.006073,               0.006073,               0.006073
                    122,                 2.0749,                 1.2713,                 1.1482,                0.53635,                0.36183,                0.39291,                 0.1687,                 1.9686,                 1.2353,                 1.1504,                0.00604,                0.00604,                0.00604
                    123,                 2.0754,                 1.2643,                 1.1504,                0.51346,                0.36982,                0.39147,                0.16875,                 1.9683,                 1.2346,                 1.1503,               0.006007,               0.006007,               0.006007
                    124,                 2.0742,                 1.2669,                 1.1484,                0.51392,                0.37093,                0.39232,                0.16894,                 1.9679,                 1.2339,                 1.1502,               0.005974,               0.005974,               0.005974
                    125,                  2.069,                 1.2587,                  1.148,                0.51273,                0.37085,                0.39289,                0.16953,                 1.9676,                 1.2333,                 1.1501,               0.005941,               0.005941,               0.005941
                    126,                 2.0667,                 1.2634,                 1.1427,                0.51029,                0.37169,                0.39175,                0.16927,                 1.9673,                 1.2328,                   1.15,               0.005908,               0.005908,               0.005908
                    127,                 2.0654,                 1.2546,                 1.1501,                0.50315,                0.37397,                0.39262,                0.16935,                  1.967,                 1.2325,                 1.1499,               0.005875,               0.005875,               0.005875
                    128,                  2.061,                 1.2624,                 1.1503,                0.50522,                0.37404,                0.39323,                0.16958,                 1.9666,                 1.2319,                 1.1497,               0.005842,               0.005842,               0.005842
                    129,                 2.0664,                 1.2596,                 1.1453,                0.50587,                0.37362,                0.39363,                0.16991,                 1.9661,                 1.2313,                 1.1496,               0.005809,               0.005809,               0.005809
                    130,                 2.0645,                 1.2556,                 1.1469,                 0.5165,                0.36775,                 0.3935,                0.17014,                 1.9658,                 1.2307,                 1.1494,               0.005776,               0.005776,               0.005776
                    131,                 2.0663,                  1.254,                 1.1478,                0.51666,                0.36775,                0.39364,                0.17031,                 1.9654,                   1.23,                 1.1492,               0.005743,               0.005743,               0.005743
                    132,                 2.0667,                 1.2554,                 1.1434,                0.51798,                0.36784,                0.39406,                0.17037,                 1.9649,                 1.2293,                 1.1491,                0.00571,                0.00571,                0.00571
                    133,                 2.0586,                 1.2572,                 1.1473,                0.52017,                0.36852,                0.39339,                0.17027,                 1.9647,                 1.2287,                 1.1489,               0.005677,               0.005677,               0.005677
                    134,                 2.0607,                  1.233,                 1.1444,                0.51923,                0.36801,                0.39333,                0.17036,                 1.9643,                 1.2281,                 1.1488,               0.005644,               0.005644,               0.005644
                    135,                 2.0577,                 1.2454,                 1.1459,                0.52234,                 0.3666,                0.39338,                0.17063,                 1.9639,                 1.2274,                 1.1486,               0.005611,               0.005611,               0.005611
                    136,                 2.0588,                 1.2358,                 1.1469,                0.51238,                0.37188,                0.39416,                0.17089,                 1.9636,                 1.2267,                 1.1485,               0.005578,               0.005578,               0.005578
                    137,                 2.0614,                  1.243,                 1.1412,                0.51546,                 0.3734,                0.39434,                0.17096,                 1.9632,                  1.226,                 1.1484,               0.005545,               0.005545,               0.005545
                    138,                 2.0584,                 1.2463,                 1.1456,                0.51534,                0.37379,                 0.3947,                0.17098,                 1.9628,                 1.2253,                 1.1482,               0.005512,               0.005512,               0.005512
